C,Value
http://dbpedia.org/resource/Sassari,233.60496630530324e0
http://dbpedia.org/resource/Potenza,389.29479768786126e0
http://dbpedia.org/resource/Savona,935.8504958047292e0
http://dbpedia.org/resource/Konin,871.060975609756e0
http://dbpedia.org/resource/Nuneaton_and_Bedworth,
http://dbpedia.org/resource/Paredes__Portugal,554.057157438122e0
http://dbpedia.org/resource/Gliwice,1307.9025993426949e0
http://dbpedia.org/resource/City_of_Wakefield,
http://dbpedia.org/resource/Grosseto,173.10416051932725e0
http://dbpedia.org/resource/Kielce,1755.2941176470588e0
http://dbpedia.org/resource/Sassuolo,1043.0238589211617e0
http://dbpedia.org/resource/Ostrowiec_Świętokrzyski,1427.0514753392204e0
http://dbpedia.org/resource/Bergamo,3017.9282868525897e0
http://dbpedia.org/resource/Brindisi,261.70040242657217e0
http://dbpedia.org/resource/Genoa,2414.1537309084856e0
http://dbpedia.org/resource/Matera,155.9189468249871e0
http://dbpedia.org/resource/Radom,1852.5288693939667e0
http://dbpedia.org/resource/Sosnowiec,2139.446518778827e0
http://dbpedia.org/resource/Pabianice,1910.366777811458e0
http://dbpedia.org/resource/Venice,623.9838869189763e0
http://dbpedia.org/resource/Lecce,402.3781512605042e0
http://dbpedia.org/resource/Lund,3579.5601061812663e0
http://dbpedia.org/resource/Västerås,2414.0347563279183e0
http://dbpedia.org/resource/Piacenza,874.6159041026507e0
http://dbpedia.org/resource/Linköping,2472.296015180266e0
http://dbpedia.org/resource/Avellino,1784.4517184942717e0
http://dbpedia.org/resource/Ragusa__Sicily,167.76095797559873e0
http://dbpedia.org/resource/Barletta,632.5878808168732e0
http://dbpedia.org/resource/Bolzano,2054.2256214149143e0
http://dbpedia.org/resource/Altamura,165.19672131147541e0
http://dbpedia.org/resource/Ancona,818.8505375474901e0
http://dbpedia.org/resource/Florence,3740.679621130749e0
http://dbpedia.org/resource/Baia_Mare,529.9952884738939e0
http://dbpedia.org/resource/Płock,1328.2080399727458e0
http://dbpedia.org/resource/Bisceglie,799.7833935018051e0
http://dbpedia.org/resource/Głogów,1849.0245971162003e0
http://dbpedia.org/resource/Vila_Franca_de_Xira,432.6314466199441e0
http://dbpedia.org/resource/Reggio_Emilia,744.3463203463203e0
http://dbpedia.org/resource/Prato,2003.9958911145352e0
http://dbpedia.org/resource/Włocławek,1268.1214421252373e0
http://dbpedia.org/resource/Grudziądz,1602.3545706371192e0
http://dbpedia.org/resource/Foggia,302.0571992110454e0
http://dbpedia.org/resource/Viseu,195.22776572668113e0
http://dbpedia.org/resource/Pescara,3479.452852153667e0
http://dbpedia.org/resource/Katowice,1742.6367887289732e0
http://dbpedia.org/resource/Funchal,1389.2974392646092e0
http://dbpedia.org/resource/Carpi__Emilia-Romagna,540.8849019309716e0
http://dbpedia.org/resource/Piła,699.7078301519283e0
http://dbpedia.org/resource/Metropolitan_Borough_of_Sefton,
http://dbpedia.org/resource/Metropolitan_Borough_of_Bury,
http://dbpedia.org/resource/Bologna,2803.0881726536986e0
